index,season,episode,episode_name,director,writer,character,text,text_w_direction,imdb_rating,total_votes,air_date
22331,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,David Wallace,"Michael, you have to take responsibility here. One of your employees had a heart attack. He could have died, because of the way that you are allowing your office to run. Do you want that on your conscious?","Michael, you have to take responsibility here. One of your employees had a heart attack. He could have died, because of the way that you are allowing your office to run. Do you want that on your conscious?",9.6,5948,2009-02-01
22332,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,Do you?,Do you?,9.6,5948,2009-02-01
22333,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,David Wallace,Michael?,Michael?,9.6,5948,2009-02-01
22334,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,You talking to me?,You talking to me?,9.6,5948,2009-02-01
22335,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,David Wallace,Yeah.,Yeah.,9.6,5948,2009-02-01
22336,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,What?,What?,9.6,5948,2009-02-01
22337,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Dwight,Well... I guess we papered over that pretty nicely. It always amuses me when corporate thinks they can make some big change with a twenty minute meeting in some fancy high-rise. What's the matter? You hungry?,Well... I guess we papered over that pretty nicely. [chuckles] It always amuses me when corporate thinks they can make some big change with a twenty minute meeting in some fancy high-rise. What's the matter? You hungry?,9.6,5948,2009-02-01
22338,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"No, Dwight. I am worried. A man's life is in my hands.","[sighs] No, Dwight. I am worried. A man's life is in my hands.",9.6,5948,2009-02-01
22339,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Dwight,Don't you worry about that. I got it covered. Okay?,Don't you worry about that. I got it covered. Okay?,9.6,5948,2009-02-01
22340,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,Yeah.,Yeah.,9.6,5948,2009-02-01
22341,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Dwight,I am planning a bomb scare that should really get the blood pumping.,I am planning a bomb scare that should really get the blood pumping.,9.6,5948,2009-02-01
22342,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,That's not gonna happen. I'm taking over as safety man.,That's not gonna happen. I'm taking over as safety man.,9.6,5948,2009-02-01
22343,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Dwight,What? You?,What? You?,9.6,5948,2009-02-01
22344,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,Yes.,Yes.,9.6,5948,2009-02-01
22345,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Dwight,Come on.,Come on.,9.6,5948,2009-02-01
22346,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,I'm a smart guy. I'll figure it out.,I'm a smart guy. I'll figure it out.,9.6,5948,2009-02-01
22347,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Dwight,That's preposterous.,That's preposterous.,9.6,5948,2009-02-01
22348,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"No, I will.","No, I will.",9.6,5948,2009-02-01
22349,5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,Michael,"Nobody should have to go to work thinking, ""Oh, this is the place that I might die today."" That's what a hospital is for. An office is for not dying. An office is a place to live life to the fullest, to the max, to... An office is a place where dreams come true.","Nobody should have to go to work thinking, ""Oh, this is the place that I might die today."" That's what a hospital is for. An office is for not dying. An office is a place to live life to the fullest, to the max, to... An office is a place where dreams come true.",9.6,5948,2009-02-01
